Event,Round Number,Dive Number,Height,Name,DD,Total,Points,Score
  Senior Women 3m Springboard - (Prelim/Quarterfinal),2,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),3,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),4,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),2,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),3,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),4,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),1,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),3,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),1,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),2,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),3,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),4,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),4,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),2,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),2,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5233D	,3M	,Back 1 1/2 Somersault 1 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),2,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,401B	,3M	,Inward Dive Pike	,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
