Event,Dive Number,Height,Name,Net Score,DD,Score,Round Place
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,3.40	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,3.40	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,2.90	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,2.90	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),201B	,3M	,Back Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),201B	,3M	,Back Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),101B	,3M	,Forward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),101B	,3M	,Forward Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,2.00	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),201B	,3M	,Back Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),201B	,3M	,Back Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),101B	,3M	,Forward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),101B	,3M	,Forward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
