Event,Round Number,Dive Number,Height,Name,DD,Total,Points,Score
  Senior Men 3m Springboard - (Prelim/Quarterfinal),"
			",,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),"
			",,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),"
			",,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,		,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),1	,5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,3.40	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),2	,107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),3	,405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),4	,307C	,3M	,Reverse  3 1/2 Somersault Tuck	,3.50	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),5	,205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),6	,5156B	,3M	,Forward 2 1/2 Somersault 3 Twist Pike	,3.90	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,		,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,		,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),1	,405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),2	,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),3	,205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),4	,305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),5	,5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,3.40	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),6	,107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,		,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,,,,,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,		,,,
  Senior Men 3m Springboard - (Prelim/Quarterfinal),1	,107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
