index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,Totals,,,,101.5,17.9,302.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405B,3M,Inward 2 1/2 Somersault Pike,17,3,51,13
,2,107B,3M,Forward 3 1/2 Somersault Pike,20.5,3.1,63.55,1
,3,205B,3M,Back 2 1/2 Somersault Pike,16.5,3,49.5,20
,4,305B,3M,Reverse 2 1/2 Somersault Pike,12,3,36,49
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,5
,Totals,,,,87,15.1,263.05,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405B,3M,Inward 2 1/2 Somersault Pike,18.5,3,55.5,6
,2,107B,3M,Forward 3 1/2 Somersault Pike,19.5,3.1,60.45,2
,3,205B,3M,Back 2 1/2 Somersault Pike,15,3,45,6
,4,305B,3M,Reverse 2 1/2 Somersault Pike,22,3,66,1
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.5,3,61.5,1
,Totals,,,,95.5,15.1,288.45,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,401B,3M,Inward Dive Pike,39,2,46.8,1
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,33.5,2,40.2,6
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,26,3.1,48.36,6
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,33.5,3,60.3,1
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,29.5,3,53.1,3
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,161.5,13.1,248.76,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,13
,2,105B,1M,Forward 2 1/2 Somersault Pike,17.5,2.6,45.5,24
,3,203B,1M,Back 1 1/2 Somersault Pike,18,2.3,41.4,34
,4,303B,1M,Reverse 1 1/2 Somersault Pike,17.5,2.4,42,35
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18.5,2.6,48.1,19
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.5,48.75,20
,Totals,,,,112,14.8,276.15,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.5,3,61.5,3
,2,107B,3M,Forward 3 1/2 Somersault Pike,18,3.1,55.8,19
,3,405B,3M,Inward 2 1/2 Somersault Pike,22.5,3,67.5,1
,4,205B,3M,Back 2 1/2 Somersault Pike,20,3,60,7
,5,305B,3M,Reverse 2 1/2 Somersault Pike,13.5,3,40.5,37
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,22.5,2.8,63,8
,Totals,,,,117,17.9,348.3,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19,3,57,5
,2,107B,3M,Forward 3 1/2 Somersault Pike,20,3.1,62,8
,3,405B,3M,Inward 2 1/2 Somersault Pike,23,3,69,1
,4,205B,3M,Back 2 1/2 Somersault Pike,20.5,3,61.5,4
,5,305B,3M,Reverse 2 1/2 Somersault Pike,10.5,3,31.5,8
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,22.5,2.8,63,5
,Totals,,,,115.5,17.9,344,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21.5,2.4,51.6,4
,2,105B,1M,Forward 2 1/2 Somersault Pike,19.5,2.6,50.7,8
,3,203B,1M,Back 1 1/2 Somersault Pike,22,2.3,50.6,5
,4,303B,1M,Reverse 1 1/2 Somersault Pike,22.5,2.4,54,2
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.6,50.7,3
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,3
,Totals,,,,126,14.8,310.1,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,310.1,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,5
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,3
,3,203B,1M,Back 1 1/2 Somersault Pike,20,2.3,46,9
,4,303B,1M,Reverse 1 1/2 Somersault Pike,23,2.4,55.2,2
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19,2.6,49.4,6
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,3
,Totals,,,,125,14.8,618.2,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,17,3.1,52.7,10
,3,405B,3M,Inward 2 1/2 Somersault Pike,20,3,60,3
,4,205B,3M,Back 2 1/2 Somersault Pike,19.5,3,58.5,4
,5,305B,3M,Reverse 2 1/2 Somersault Pike,22,3,66,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20,2.8,56,5
,Totals,,,,119.5,17.9,356.2,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,356.2,0
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,22,3,66,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,13.5,3.1,41.85,15
,3,405B,3M,Inward 2 1/2 Somersault Pike,19.5,3,58.5,4
,4,205B,3M,Back 2 1/2 Somersault Pike,16,3,48,13
,5,305B,3M,Reverse 2 1/2 Somersault Pike,23,3,69,2
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,2
,Totals,,,,115,17.9,698.35,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,13.5,2.6,35.1,17
,3,203B,1M,Back 1 1/2 Somersault Pike,21.5,2.3,49.45,5
,4,303B,1M,Reverse 1 1/2 Somersault Pike,13.5,2.4,32.4,14
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,17,2.6,44.2,6
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,18,2.5,45,11
,Totals,,,,105.5,14.8,258.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,0,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,20.5,2.6,53.3,1
,3,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,1
,4,303B,1M,Reverse 1 1/2 Somersault Pike,23,2.4,55.2,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,20.5,2.5,51.25,1
,Totals,,,,122.5,14.8,301.65,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,19.5,3.1,60.45,3
,3,405B,3M,Inward 2 1/2 Somersault Pike,20.5,3,61.5,2
,4,205B,3M,Back 2 1/2 Somersault Pike,21,3,63,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,22.5,3,67.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.5,2.8,60.2,1
,Totals,,,,126,17.9,375.65,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18.5,3,55.5,3
,2,107B,3M,Forward 3 1/2 Somersault Pike,20.5,3.1,63.55,2
,3,405B,3M,Inward 2 1/2 Somersault Pike,21,3,63,3
,4,205B,3M,Back 2 1/2 Somersault Pike,19.5,3,58.5,3
,5,305B,3M,Reverse 2 1/2 Somersault Pike,21,3,63,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,24,2.8,67.2,2
,Totals,,,,124.5,17.9,370.75,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,5
,2,105B,1M,Forward 2 1/2 Somersault Pike,24,2.6,62.4,1
,3,203B,1M,Back 1 1/2 Somersault Pike,17.25,2.3,39.68,6
,4,303B,1M,Reverse 1 1/2 Somersault Pike,18,2.4,43.2,4
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20.25,2.6,52.65,2
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,23.25,2.5,58.13,2
,Totals,,,,123.75,14.8,306.45,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,22.5,3,67.5,2
,2,107B,3M,Forward 3 1/2 Somersault Pike,24,3.1,74.4,2
,3,405B,3M,Inward 2 1/2 Somersault Pike,17.25,3,51.75,5
,4,205B,3M,Back 2 1/2 Somersault Pike,12,3,36,6
,5,305B,3M,Reverse 2 1/2 Somersault Pike,27,3,81,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,26.25,2.8,73.5,1
,Totals,,,,129,17.9,384.15,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,23.25,2.4,55.8,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,24,2.6,62.4,1
,3,203B,1M,Back 1 1/2 Somersault Pike,24,2.3,55.2,1
,4,303B,1M,Reverse 1 1/2 Somersault Pike,19.5,2.4,46.8,4
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.6,50.7,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21.75,2.5,54.38,1
,Totals,,132,14.8,325.28,,,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.25,3,60.75,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,15.75,3.1,48.83,5
,3,405B,3M,Inward 2 1/2 Somersault Pike,21,3,63,1
,4,205B,3M,Back 2 1/2 Somersault Pike,23.25,3,69.75,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,21.75,3,65.25,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.75,2.8,60.9,1
,Totals,,,,123.75,17.9,368.48,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,21.75,2.6,56.55,2
,3,203B,1M,Back 1 1/2 Somersault Pike,21.75,2.3,50.03,2
,4,303B,1M,Reverse 1 1/2 Somersault Pike,15.75,2.4,37.8,3
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,3
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,3
,Totals,,,,119.25,14.8,294.08,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,16.5,3,49.5,4
,2,107B,3M,Forward 3 1/2 Somersault Pike,18.75,3.1,58.13,2
,3,405B,3M,Inward 2 1/2 Somersault Pike,15,3,45,6
,4,205B,3M,Back 2 1/2 Somersault Pike,18,3,54,2
,5,305B,3M,Reverse 2 1/2 Somersault Pike,21,3,63,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,1
,Totals,,,,110.25,17.9,328.43,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20.25,2.4,48.6,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,23.25,2.6,60.45,1
,3,203B,1M,Back 1 1/2 Somersault Pike,18.75,2.3,43.13,7
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,17.25,2.6,44.85,5
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,20.25,2.5,50.63,4
,Totals,,,,121.5,14.8,299.85,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18.75,3,56.25,3
,2,107B,3M,Forward 3 1/2 Somersault Pike,17.25,3.1,53.48,1
,3,405B,3M,Inward 2 1/2 Somersault Pike,22.5,3,67.5,3
,4,205B,3M,Back 2 1/2 Somersault Pike,21,3,63,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,15.75,3,47.25,5
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.25,2.8,56.7,1
,Totals,,115.5,17.9,344.18,,,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,18,2.6,46.8,3
,3,203B,1M,Back 1 1/2 Somersault Pike,22.5,2.3,51.75,2
,4,303B,1M,Reverse 1 1/2 Somersault Pike,24.5,2.4,58.8,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21.5,2.5,53.75,2
,Totals,,,,127.5,14.8,313.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,313.5,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,18.5,2.6,48.1,5
,3,203B,1M,Back 1 1/2 Somersault Pike,22,2.3,50.6,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,24.5,2.4,58.8,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19,2.6,49.4,2
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,1
,Totals,,,,127,14.8,625.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.5,3,64.5,2
,2,107B,3M,Forward 3 1/2 Somersault Pike,14,3.1,43.4,15
,3,405B,3M,Inward 2 1/2 Somersault Pike,21.5,3,64.5,2
,4,205B,3M,Back 2 1/2 Somersault Pike,22.5,3,67.5,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,20.5,3,61.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,1
,Totals,,,,121,17.9,360.2,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,360.2,0
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,23,3,69,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,22.5,3.1,69.75,2
,3,405B,3M,Inward 2 1/2 Somersault Pike,21,3,63,2
,4,205B,3M,Back 2 1/2 Somersault Pike,15.5,3,46.5,11
,5,305B,3M,Reverse 2 1/2 Somersault Pike,25.5,3,76.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,22.5,2.8,63,1
,Totals,,,,130,17.9,747.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,22.5,2.6,58.5,1
,3,203B,1M,Back 1 1/2 Somersault Pike,16.5,2.3,37.95,12
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21.75,2.4,52.2,2
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18.75,2.6,48.75,3
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,22.5,2.5,56.25,2
,Totals,,,,123.75,14.8,305.85,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,14.25,3.1,44.18,6
,3,405B,3M,Inward 2 1/2 Somersault Pike,20.25,3,60.75,1
,4,205B,3M,Back 2 1/2 Somersault Pike,18,3,54,3
,5,305B,3M,Reverse 2 1/2 Somersault Pike,18,3,54,2
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,22.5,2.8,63,1
,Totals,,,,114,17.9,338.93,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,22,3,66,2
,2,107B,3M,Forward 3 1/2 Somersault Pike,19,3.1,58.9,6
,3,205B,3M,Back 2 1/2 Somersault Pike,20,3,60,3
,4,305B,3M,Reverse 2 1/2 Somersault Pike,23,3,69,3
,5,405B,3M,Inward 2 1/2 Somersault Pike,16.5,3,49.5,17
,Totals,,,,100.5,15.1,303.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,303.4,0
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,22.5,3,67.5,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,18,3.1,55.8,8
,3,205B,3M,Back 2 1/2 Somersault Pike,19.5,3,58.5,4
,4,305B,3M,Reverse 2 1/2 Somersault Pike,17.5,3,52.5,6
,5,405B,3M,Inward 2 1/2 Somersault Pike,17,3,51,7
,Totals,,,,94.5,15.1,588.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,201B,3M,Back Dive Pike,34,2,40.8,6
,,201B,3M,Back Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,33.5,2,40.2,3
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,23,3.1,42.78,8
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,405B,3M,Inward 2 1/2 Somersault Pike,29,3,52.2,5
,,405B,3M,Inward 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,33,3,59.4,2
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,152.5,13.1,235.38,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,235.38,0
,,,0M,Carry Over from Previous Round,,,,
,1,201B,3M,Back Dive Pike,33.5,2,40.2,9
,,201B,3M,Back Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,34.5,2,41.4,6
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,30.5,3.1,56.73,2
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,405B,3M,Inward 2 1/2 Somersault Pike,28,3,50.4,5
,,405B,3M,Inward 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,26,3,46.8,8
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,152.5,13.1,470.91,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20.5,2.4,49.2,7
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,2
,3,203B,1M,Back 1 1/2 Somersault Pike,22,2.3,50.6,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,20.5,2.4,49.2,7
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,4
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19,2.5,47.5,9
,Totals,,,,121,14.8,297.9,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,5
,2,105B,1M,Forward 2 1/2 Somersault Pike,20.5,2.6,53.3,2
,3,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,5
,4,303B,1M,Reverse 1 1/2 Somersault Pike,22.5,2.4,54,3
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.6,50.7,5
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21.5,2.5,53.75,5
,Totals,,,,126,14.8,310.45,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.5,3,64.5,1
,2,107B,3M,Forward 3 1/2 Somersault Pike,11.5,3.1,35.65,20
,3,405B,3M,Inward 2 1/2 Somersault Pike,16,3,48,13
,4,205B,3M,Back 2 1/2 Somersault Pike,21.5,3,64.5,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,14,3,42,19
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,19,2.8,53.2,8
,Totals,,,,103.5,17.9,307.85,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,4
,2,107B,3M,Forward 3 1/2 Somersault Pike,22.5,3.1,69.75,1
,3,405B,3M,Inward 2 1/2 Somersault Pike,18,3,54,6
,4,205B,3M,Back 2 1/2 Somersault Pike,24,3,72,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,23.5,3,70.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.5,2.8,60.2,5
,Totals,,,,130.5,17.9,389.45,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,18,2.6,46.8,2
,3,203B,1M,Back 1 1/2 Somersault Pike,20.25,2.3,46.58,2
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20.25,2.6,52.65,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.5,48.75,1
,Totals,,,,118.5,14.8,291.98,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,3M,Inward 1 1/2 Somersault Pike,21,2.1,44.1,7
,2,205B,3M,Back 2 1/2 Somersault Pike,23.25,3,69.75,1
,3,305B,3M,Reverse 2 1/2 Somersault Pike,20.25,3,60.75,2
,4,105B,3M,Forward 2 1/2 Somersault Pike,20.25,2.4,48.6,2
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,17.25,3,51.75,2
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,19.5,2.8,54.6,1
,Totals,,,,121.5,16.3,329.55,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405B,3M,Inward 2 1/2 Somersault Pike,14.5,3,43.5,17
,2,107B,3M,Forward 3 1/2 Somersault Pike,13.5,3.1,41.85,22
,3,205B,3M,Back 2 1/2 Somersault Pike,19.5,3,58.5,3
,4,305B,3M,Reverse 2 1/2 Somersault Pike,12,3,36,23
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.5,3,61.5,4
,Totals,,,,80,15.1,241.35,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,241.35,0
,1,405B,3M,Inward 2 1/2 Somersault Pike,11,3,33,17
,2,107B,3M,Forward 3 1/2 Somersault Pike,17,3.1,52.7,8
,3,205B,3M,Back 2 1/2 Somersault Pike,15.5,3,46.5,14
,4,305B,3M,Reverse 2 1/2 Somersault Pike,15.5,3,46.5,12
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19,3,57,11
,Totals,,,,78,15.1,477.05,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,401B,3M,Inward Dive Pike,39.5,2,47.4,4
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,37,2,44.4,3
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,29.5,3.1,54.87,5
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,33,3,59.4,2
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,32,3,57.6,3
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,171,13.1,263.67,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,263.67,0
,,,0M,Carry Over from Previous Round,,,,
,1,401B,3M,Inward Dive Pike,38,2,45.6,4
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,37.5,2,45,4
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,31,3.1,57.66,5
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,32.5,3,58.5,4
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,34.5,3,62.1,4
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,173.5,13.1,532.53,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,532.53,0
,,,0M,Carry Over from Previous Round,,,,
,1,401B,3M,Inward Dive Pike,37.5,2,45,5
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,33.5,2,40.2,6
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,32.5,3.1,60.45,3
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,33,3,59.4,5
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,37,3,66.6,3
