index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,19.5,3,58.5,11
,6,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18,3,54,14
,Totals,,,,115,17.9,342.75,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,5
,2,405B,3M,Inward 2 1/2 Somersault Pike,18,3,54,7
,3,107B,3M,Forward 3 1/2 Somersault Pike,16.5,3.1,51.15,4
,4,205B,3M,Back 2 1/2 Somersault Pike,22,3,66,2
,5,305B,3M,Reverse 2 1/2 Somersault Pike,12,3,36,8
,6,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,4
,Totals,,,,110.5,17.9,328.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,2
,3,203B,1M,Back 1 1/2 Somersault Pike,19.5,2.3,44.85,8
,4,303B,1M,Reverse 1 1/2 Somersault Pike,19.5,2.4,46.8,8
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,3
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21.5,2.6,55.9,2
,Totals,,,,123.5,14.9,306.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,306.95,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,11
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,2
,3,203B,1M,Back 1 1/2 Somersault Pike,22.5,2.3,51.75,6
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,6
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.6,50.7,3
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,14,2.6,36.4,18
,Totals,,,,117.5,14.9,597.6,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,17,3,51,9
,2,405B,3M,Inward 2 1/2 Somersault Pike,18.5,3,55.5,3
,3,107B,3M,Forward 3 1/2 Somersault Pike,18,3.1,55.8,2
,4,205B,3M,Back 2 1/2 Somersault Pike,18,3,54,10
,5,305B,3M,Reverse 2 1/2 Somersault Pike,17,3,51,9
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.5,2.8,57.4,2
,Totals,,,,109,17.9,324.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,324.7,0
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,17,3,51,8
,3,107B,3M,Forward 3 1/2 Somersault Pike,17.5,3.1,54.25,9
,4,205B,3M,Back 2 1/2 Somersault Pike,22.5,3,67.5,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,22.5,3,67.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,17,2.8,47.6,12
,Totals,,,,117.5,17.9,675.55,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20.5,2.4,49.2,5
,2,105B,1M,Forward 2 1/2 Somersault Pike,22.5,2.6,58.5,2
,3,203B,1M,Back 1 1/2 Somersault Pike,24,2.3,55.2,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,18.5,2.4,44.4,9
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,5
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21,2.6,54.6,3
,Totals,,,,124.5,14.9,308.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21.5,2.4,51.6,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,22.5,2.6,58.5,2
,3,203B,1M,Back 1 1/2 Somersault Pike,21.5,2.3,49.45,7
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,3
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,22,2.6,57.2,3
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,22,2.6,57.2,2
,Totals,,,,130.5,14.9,324.35,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,12,3,36,17
,3,107B,3M,Forward 3 1/2 Somersault Pike,22,3.1,68.2,1
,4,205B,3M,Back 2 1/2 Somersault Pike,15,3,45,13
,5,305B,3M,Reverse 2 1/2 Somersault Pike,24.5,3,73.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,22.5,2.8,63,1
,Totals,,,,117,17.9,348.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18,3,54,4
,2,405B,3M,Inward 2 1/2 Somersault Pike,20,3,60,3
,3,107B,3M,Forward 3 1/2 Somersault Pike,16,3.1,49.6,5
,4,205B,3M,Back 2 1/2 Somersault Pike,13.5,3,40.5,6
,5,305B,3M,Reverse 2 1/2 Somersault Pike,11,3,33,8
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.5,2.8,57.4,4
,Totals,,,,99,17.9,294.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,1
,3,203B,1M,Back 1 1/2 Somersault Pike,20.5,2.3,47.15,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,20,2.4,48,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,2
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,20.5,2.6,53.3,1
,Totals,,,,119.5,14.9,296.65,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20,3,60,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,20,3,60,1
